"","x"
"1",0.509650945663452
"2",0.916917562484741
"3",0.903403162956238
"4",0.889490783214569
"5",0.786651611328125
"6",0.904922127723694
"7",0.89448469877243
"8",0.516212701797485
"9",0.897646903991699
"10",0.908828020095825
"11",0.916407585144043
"12",0.875869810581207
"13",0.891487300395966
"14",0.880328774452209
"15",0.843786478042603
"16",0.858912765979767
"17",0.897566199302673
"18",0.909621238708496
"19",0.84767073392868
"20",0.873203992843628
"21",0.881878554821014
"22",0.874500274658203
"23",0.918607115745544
"24",0.887016832828522
"25",0.874500095844269
"26",0.868861556053162
"27",0.909543752670288
"28",0.864899694919586
"29",0.89898294210434
"30",0.86613929271698
"31",0.898267984390259
"32",0.848803281784058
"33",0.878609299659729
"34",0.831849932670593
"35",0.908133983612061
"36",0.87847113609314
"37",0.888649821281433
"38",0.90340793132782
"39",0.871669948101044
"40",0.899871289730072
"41",0.897037267684937
"42",0.835561335086823
"43",0.879518091678619
"44",0.866254210472107
"45",0.839171767234802
"46",0.887014448642731
"47",0.840897977352142
"48",0.860796093940735
"49",0.890726089477539
"50",0.909334242343903
"51",0.876760482788086
"52",0.908771932125092
"53",0.867622435092926
"54",0.887072265148163
"55",0.817166984081268
"56",0.445935279130936
"57",0.881714344024658
"58",0.844246208667755
"59",0.865751802921295
"60",0.89701771736145
"61",0.804466485977173
"62",0.899486660957336
"63",0.822825193405151
"64",0.904305875301361
"65",0.89594841003418
"66",0.737402439117432
"67",0.883395254611969
"68",0.813054859638214
"69",0.834693849086761
"70",0.573313057422638
"71",0.880006492137909
"72",0.911885321140289
"73",0.893324077129364
"74",0.905268132686615
"75",0.859574556350708
"76",0.743182957172394
"77",0.855283081531525
"78",0.797999024391174
"79",0.88976114988327
"80",0.878048777580261
"81",0.907894015312195
"82",0.899073958396912
"83",0.875584840774536
"84",0.772377490997314
"85",0.906397998332977
"86",0.85337245464325
"87",0.551839470863342
"88",0.867416858673096
"89",0.890075147151947
"90",0.896188795566559
"91",0.835405945777893
"92",0.883965015411377
"93",0.908565402030945
"94",0.920476317405701
"95",0.879505395889282
"96",0.876682937145233
"97",0.902513682842255
"98",0.88270229101181
"99",0.855321645736694
"100",0.849859118461609
"101",0.830825090408325
"102",0.847168803215027
"103",0.74445503950119
"104",0.893710374832153
"105",0.910668134689331
"106",0.902781009674072
"107",0.875924587249756
"108",0.893822371959686
"109",0.881896138191223
"110",0.882699251174927
"111",0.877426326274872
"112",0.913770616054535
"113",0.874408841133118
"114",0.918736934661865
"115",0.90514862537384
"116",0.905747711658478
"117",0.891056537628174
"118",0.48347932100296
"119",0.900826454162598
"120",0.827067255973816
"121",0.873593688011169
"122",0.854545474052429
"123",0.902812659740448
"124",0.862567842006683
"125",0.898936867713928
"126",0.87023937702179
"127",0.904300451278687
"128",0.84470009803772
"129",0.888000011444092
"130",0.888872027397156
"131",0.80556458234787
"132",0.882856070995331
"133",0.918960273265839
"134",0.898462951183319
"135",0.904522836208344
"136",0.863202154636383
"137",0.886948704719543
"138",0.897071897983551
"139",0.877456247806549
"140",0.558810770511627
"141",0.846867740154266
"142",0.914754092693329
"143",0.891170978546143
"144",0.88748037815094
"145",0.912016808986664
"146",0.781386971473694
"147",0.883664011955261
"148",0.896367073059082
"149",0.8691046833992
"150",0.898306131362915
"151",0.873909771442413
"152",0.881508052349091
"153",0.908929824829102
"154",0.863656878471375
"155",0.868825376033783
"156",0.891183793544769
"157",0.907431840896606
"158",0.898273468017578
