"","x"
"1",0.672191135062112
"2",0.610371082287446
"3",0.60915479212828
"4",0.619250940614255
"5",0.620147061154676
"6",0.621567169913112
"7",0.631505707059009
"8",0.644577446427458
"9",0.62732594156858
"10",0.633416980771228
"11",0.633953667063622
"12",0.622203792694867
"13",0.639760204892096
"14",0.648518736558582
"15",0.615536342325103
"16",0.61627182808756
"17",0.614931741046068
"18",0.61679809056103
"19",0.613653528920296
"20",0.627762865846717
"21",0.648455645004185
"22",0.612428395571957
"23",0.635565828083353
"24",0.624831055740062
"25",0.635668743794016
"26",0.620200629760158
"27",0.62407490639528
"28",0.613393932082181
"29",0.623251860921101
"30",0.612189694799672
"31",0.592709433462013
"32",0.648442810642565
"33",0.621066673874279
"34",0.646195837222338
"35",0.649622303541979
"36",0.67446174870873
"37",0.651965160389462
"38",0.580150592218479
"39",0.593784576557485
"40",0.63931564286956
"41",0.620956529419066
"42",0.612095810439017
"43",0.607650395995613
"44",0.621329253983124
"45",0.618902809243825
"46",0.61969311518246
"47",0.618843714772416
"48",0.656549155017545
"49",0.650019105903941
"50",0.620936781149061
"51",0.664225349188623
"52",0.638294440046561
"53",0.626794193322509
"54",0.62013051057379
"55",0.586868747247313
"56",0.605260998412349
"57",0.626922207274256
"58",0.626066387445533
"59",0.635180439661245
"60",0.621222457238567
"61",0.5848963294248
"62",0.631562521510715
"63",0.6251167967452
"64",0.640216774451799
"65",0.656276426033056
"66",0.567309461698757
"67",0.617236027326745
"68",0.60830292646954
"69",0.631409748828653
"70",0.623660455799907
"71",0.650017734793775
"72",0.63878998580169
"73",0.625386682598668
"74",0.657133939770834
"75",0.578517613678772
"76",0.623035621193684
"77",0.63384468589275
"78",0.616406603416735
"79",0.616578363508443
"80",0.61437478494953
"81",0.626713192033588
"82",0.632435870385165
"83",0.636098129837421
"84",0.629382752040979
"85",0.617233133995182
"86",0.621418595747158
"87",0.616764496966969
"88",0.635092046087058
"89",0.64697262182081
"90",0.621390759587857
"91",0.628544651613612
"92",0.665929261024769
"93",0.604715393470191
"94",0.637205539111498
"95",0.555476678324006
"96",0.615024022366811
"97",0.595026570192701
"98",0.651417246957285
"99",0.647890807539404
"100",0.645751342649583
"101",0.635173859257307
"102",0.634525511709012
"103",0.628417847836298
"104",0.637643479707341
"105",0.636121213170734
"106",0.635945908417476
"107",0.608915392837429
"108",0.64112006859038
"109",0.646906136741796
"110",0.608310361073434
"111",0.618872027996466
"112",0.63470569163263
"113",0.631549531473472
"114",0.646218998606065
"115",0.641687130939604
"116",0.644048976350598
"117",0.614390505904076
"118",0.624426859485577
"119",0.667441835320598
"120",0.585691051972749
"121",0.627192275144236
"122",0.66324567334924
"123",0.594484071438609
"124",0.630927160811737
"125",0.612481995853903
"126",0.583451180037229
"127",0.629834411078942
"128",0.62315389908673
"129",0.616660862975293
"130",0.611018523077447
"131",0.631905349031782
"132",0.660368829198317
"133",0.646937167081939
"134",0.633822809777064
"135",0.61743123407486
