"","x"
"1",0.621372426924392
"2",0.647331569132888
"3",0.608688201242625
"4",0.622621224376473
"5",0.608847123941403
"6",0.597514571332862
"7",0.616229196985174
"8",0.613439198349259
"9",0.627719059777815
"10",0.617323480696646
"11",0.635025042998575
"12",0.585188629857195
"13",0.588566880551742
"14",0.602420142389828
"15",0.598777816048545
"16",0.61367401227921
"17",0.605241599671105
"18",0.59469274579583
"19",0.598289120667737
"20",0.6159889191471
"21",0.624502491544044
"22",0.615584427033234
"23",0.620201624118457
"24",0.595766523922166
"25",0.614112558235517
"26",0.629209205401181
"27",0.678542029305077
"28",0.60262278780697
"29",0.599841670286122
"30",0.574504141943963
"31",0.599142194299013
"32",0.598108654224396
"33",0.599012927939022
"34",0.621238072002702
"35",0.583801394549453
"36",0.607701393606428
"37",0.632521275035049
"38",0.601117017792816
"39",0.631273110514044
"40",0.618497749139734
"41",0.598196537899789
"42",0.601842584262098
"43",0.625504712384437
"44",0.635820634590527
"45",0.59066242509597
"46",0.612296819083899
"47",0.594913577179853
"48",0.606198818928395
"49",0.612502341717477
"50",0.618585422426663
"51",0.619709297884981
"52",0.596665257144872
"53",0.599086215257153
"54",0.600265902392517
"55",0.602209905226
"56",0.608114452566376
"57",0.624404880827256
"58",0.602301967311023
"59",0.583724809525761
"60",0.59810604046033
"61",0.620448904866198
"62",0.609722138687692
"63",0.630215294912793
"64",0.597624310889895
"65",0.640480431535615
"66",0.603509870379391
"67",0.596500711051618
"68",0.616379973816837
"69",0.649031806145556
"70",0.593868216299738
"71",0.580242206543001
"72",0.586257033752047
"73",0.605446756757024
"74",0.60743562343576
"75",0.633634060648813
"76",0.632263486756063
"77",0.608275314554894
"78",0.666858291893938
"79",0.606807851438155
"80",0.571159893890914
"81",0.641816606881519
"82",0.619793397036197
"83",0.612535597081688
"84",0.580792467075565
"85",0.613161407010819
"86",0.677613193293185
"87",0.606065498686547
"88",0.608179305731968
"89",0.604033232180087
"90",0.619442821519389
"91",0.601553590569295
"92",0.606400847266149
"93",0.608885650990248
"94",0.640269592359625
"95",0.617939087396438
"96",0.625895648531014
"97",0.581557115001211
"98",0.605280172722551
"99",0.636632610915713
"100",0.638175596717038
"101",0.608698075218849
"102",0.579502954304211
"103",0.619074837883185
"104",0.624848389735462
"105",0.634623213546158
"106",0.578994325472634
"107",0.618730934394811
"108",0.590018490537747
"109",0.635508987852501
"110",0.615293614168381
"111",0.588068084257311
"112",0.609255436732356
"113",0.649350707612318
"114",0.612774832677122
"115",0.634139228550325
"116",0.630283835141259
"117",0.589200304535628
"118",0.62195136762454
"119",0.610403617008795
"120",0.603856875027429
"121",0.61956388502748
"122",0.564480522767515
"123",0.606500462905336
"124",0.605589438357305
"125",0.630997390916811
"126",0.641658057460321
"127",0.621601983322442
"128",0.618501817499035
"129",0.636686616333123
"130",0.58387391019374
"131",0.602395118228106
"132",0.623994003219075
"133",0.609984094850048
"134",0.653663917525692
"135",0.598789185954442
"136",0.603019235363178
"137",0.623613586654932
"138",0.591223819003265
"139",0.601529657918115
"140",0.590772746174411
"141",0.621383522557923
"142",0.589014810809342
"143",0.611371200488384
"144",0.591676063913596
"145",0.630517676154218
"146",0.62943123235596
"147",0.592775452893081
"148",0.600443430380188
"149",0.582620085274368
"150",0.587657335404957
"151",0.61692941844208
"152",0.632556665307819
"153",0.595506479044502
"154",0.601537265845507
"155",0.623123301788147
"156",0.614653417765598
"157",0.609475242644435
"158",0.619384054399687
"159",0.606503774725098
"160",0.596130564293493
"161",0.62127211286578
"162",0.60505417444657
"163",0.633206625711521
"164",0.59311470939497
"165",0.639146580209608
"166",0.612734384593061
"167",0.617495105799236
"168",0.597460836233498
"169",0.596396820608886
"170",0.627457761852984
"171",0.596679143322366
"172",0.651735368533068
"173",0.604160003068202
"174",0.589067399800958
"175",0.629683088873282
"176",0.632497531916379
"177",0.604066288903883
"178",0.580514407182578
"179",0.603372614164286
"180",0.620928621147182
"181",0.570636435189349
"182",0.631443656478453
"183",0.623951175136354
"184",0.622008325246891
"185",0.625673760438919
"186",0.594057579591425
"187",0.603319328302787
"188",0.611882914816594
"189",0.597440498892223
"190",0.591220607234709
"191",0.588685940689622
"192",0.610575675289527
"193",0.605766727850111
"194",0.627933681037549
"195",0.605845108431697
"196",0.62611262327331
"197",0.613225953442786
"198",0.640412699736249
"199",0.595055843897404
"200",0.62169447829088
"201",0.608470743095884
"202",0.593749053737362
"203",0.605351879929836
"204",0.676555981239407
"205",0.595192528005941
"206",0.613729486006597
"207",0.612410213364618
"208",0.588122815218328
"209",0.618069388786511
"210",0.619828085117864
"211",0.578382657409902
"212",0.621885056333011
"213",0.577129646951133
"214",0.612947145133904
"215",0.606670431549418
"216",0.632666825456328
"217",0.5916892634327
"218",0.608459087318415
"219",0.617349083123061
"220",0.58700183030476
"221",0.634725002513883
"222",0.6067887335726
"223",0.606939794102387
"224",0.606131290735898
"225",0.60483805647342
"226",0.585612250933078
"227",0.630687524188829
"228",0.603233012081749
"229",0.608416406614389
"230",0.60415154183718
"231",0.626168886668984
"232",0.601523513986916
"233",0.645396482994518
"234",0.602929268672865
"235",0.610503082789766
"236",0.5996406049081
"237",0.63726927168828
"238",0.603799130520152
"239",0.606043244232658
"240",0.626584944630025
"241",0.616034187075388
"242",0.589124484726884
"243",0.623708951612133
"244",0.609364973243517
"245",0.604017272462879
"246",0.59227031755501
"247",0.605398804316043
"248",0.61428672384419
"249",0.612891793344439
"250",0.601658318436328
"251",0.648449759294851
"252",0.665772908410853
"253",0.610490156709921
"254",0.61176266219494
"255",0.597319378151786
"256",0.614791447087394
"257",0.593880987369125
"258",0.598855868168371
"259",0.605233796514581
"260",0.608810568058
"261",0.620187851387908
"262",0.63679240656721
"263",0.617028479753308
"264",0.60162419629133
"265",0.593549713221003
"266",0.620480747946885
"267",0.683260821285877
"268",0.625097516283934
"269",0.59898255582351
"270",0.624297210590714
"271",0.597090415059496
"272",0.617619706639523
"273",0.598914422988525
"274",0.576422757858226
"275",0.619269605215027
"276",0.613301295288907
"277",0.606370218462759
"278",0.632240968464367
"279",0.617062251765156
"280",0.628408479221128
"281",0.626191630943903
"282",0.645826712881954
"283",0.598512496518197
"284",0.658979545293095
"285",0.605148725070058
"286",0.596519094805118
"287",0.629512733791611
"288",0.603060342726334
"289",0.614123964999271
"290",0.61003078733425
"291",0.584405266934916
"292",0.612568277043892
"293",0.564843262172453
"294",0.611722525095844
"295",0.637178862167811
"296",0.608823726628011
"297",0.626475778568249
"298",0.609317452666469
"299",0.702192833542617
"300",0.616457885063856
"301",0.619689086173911
"302",0.630873264283169
"303",0.600466029526343
"304",0.610568802040321
"305",0.628405949734902
"306",0.60800867528135
"307",0.632240301998928
"308",0.596416469831722
"309",0.617352423559451
"310",0.649770741512181
"311",0.617825204994111
"312",0.634899076562477
"313",0.627315772258569
"314",0.633459980943346
"315",0.626195443523423
"316",0.63726870917247
"317",0.620392459767135
"318",0.624251745206094
"319",0.626224166986806
"320",0.627992245765392
"321",0.621025196303546
"322",0.624787154713577
"323",0.604457684220846
"324",0.58024843048055
"325",0.608633691924247
"326",0.651517805701058
"327",0.635016272380136
"328",0.600090882012057
"329",0.603776084152963
"330",0.653685904970755
"331",0.626971353926023
"332",0.594918005672715
"333",0.620938376866395
"334",0.626960456698853
"335",0.609313488327819
"336",0.654789534862333
"337",0.633160929776949
"338",0.59595728311925
"339",0.610889138909764
"340",0.594148742558041
"341",0.621770803172251
"342",0.582803576415408
"343",0.623328948390409
"344",0.596323522746392
"345",0.605774580889001
"346",0.608049235634488
"347",0.624191555678372
"348",0.621722627774464
"349",0.597167619998899
"350",0.63349937151437
"351",0.623713239222405
"352",0.620015143841335
"353",0.613930722703366
"354",0.591534423431269
"355",0.611403935402835
"356",0.62582053064714
"357",0.600283103846584
"358",0.615127624282442
"359",0.605652561822738
"360",0.628846095735337
"361",0.651571601478639
"362",0.593630820971607
"363",0.601397031039179
"364",0.621655982932892
"365",0.61472428890433
"366",0.584230182249194
"367",0.599384527503293
"368",0.615001801876612
"369",0.629041640598449
"370",0.621559167544586
"371",0.607349274609635
"372",0.596056692081981
"373",0.589045293645854
"374",0.60146385152615
"375",0.635716938249125
"376",0.639498814386044
"377",0.621870034268798
"378",0.593893596447441
"379",0.640474039766266
"380",0.618193502543504
"381",0.61019350274428
"382",0.600706743383459
"383",0.603587868039368
"384",0.568689786268387
"385",0.629288510785526
"386",0.606876462787118
"387",0.597316723853772
"388",0.616264063160834
"389",0.632869517955645
"390",0.65154211153037
"391",0.61754445989282
"392",0.606638761730253
"393",0.609570050004032
"394",0.614787170465728
"395",0.602239558547319
"396",0.627788680458338
"397",0.612923018534276
"398",0.609323315597504
"399",0.653810290612141
"400",0.609712124943908
"401",0.562654188410945
"402",0.595703197408333
"403",0.602995302465113
"404",0.612090160508327
"405",0.598022697526112
"406",0.614837254900441
"407",0.601297293952034
"408",0.61450340682048
"409",0.605420357350929
"410",0.613059963305555
"411",0.631271573162555
"412",0.614004802791529
"413",0.595433922740665
"414",0.635161966656982
"415",0.624030690329106
"416",0.599065902995716
"417",0.606136290015482
"418",0.617813233682916
"419",0.601239302588516
"420",0.615324926063436
"421",0.595914191338625
"422",0.621103031936618
"423",0.599031389360433
"424",0.602548153348379
"425",0.622396029678473
"426",0.622301079639159
"427",0.608210364457336
"428",0.622396830313937
"429",0.613050044136422
"430",0.614113621695322
"431",0.618911299032182
"432",0.596762203163439
"433",0.644806691834926
"434",0.609929322020971
"435",0.626011262586388
"436",0.625837911533556
"437",0.652185689975559
"438",0.602826238225979
"439",0.598510031626133
"440",0.583098225285858
"441",0.613842985681314
"442",0.604705205662614
"443",0.617381441641185
"444",0.612014874648922
"445",0.624010100686294
"446",0.641859947362154
"447",0.61675865991749
"448",0.637759930000503
"449",0.641718898659948
"450",0.605563250930693
"451",0.61756972666422
"452",0.628717053238028
"453",0.619938323744032
"454",0.617685897356672
"455",0.581060253467729
"456",0.613736430168387
"457",0.618977829982455
"458",0.627352945154535
"459",0.637068852291406
"460",0.615221568003333
"461",0.613358623591068
"462",0.596414731377767
"463",0.627003733080164
"464",0.62172035767577
"465",0.614164416195246
"466",0.610919187824766
"467",0.589967808915157
"468",0.642351051722259
"469",0.660366472714249
"470",0.612371095062457
"471",0.588241241902538
"472",0.621899085379485
"473",0.625236526104619
